TREND_WINDOWS,TARGET_VOL,CORE_RATIO,COST_BP,EVALUATION_START,EVALUATION_END,CAGR,ANNUAL_VOLATILITY,MAX_DRAWDOWN,SHARPE,SORTINO,CALMAR,WORST_MONTH,WORST_YEAR,ROLLING_3Y_CAGR_MIN,ROLLING_3Y_CAGR_MEDIAN,TOTAL_TURNOVER,ANNUALIZED_TURNOVER,TRADE_COUNT,RECOVERY_TIME_TRADING_DAYS,TIME_UNDER_WATER
60/120/240,0.10000000,0.60000000,5,2022-01-28,2026-08-20,0.13216934,0.11890274,-0.09744424,1.14626811,1.60211435,1.35635867,-0.05019651,-0.03012093,0.07743296,0.15485695,0.46428373,0.10184754,20.00000000,233.00000000,0.87228261
60/120/240,0.10000000,0.60000000,10,2022-01-28,2026-08-20,0.13205403,0.11889536,-0.09747763,1.14544018,1.60084314,1.35471113,-0.05020601,-0.03026253,0.07734188,0.15476261,0.46428373,0.10184754,20.00000000,233.00000000,0.87228261
60/120/240,0.10000000,0.60000000,20,2022-01-28,2026-08-20,0.13182344,0.11888067,-0.09754441,1.14378327,1.59830023,1.35141973,-0.05022502,-0.03054569,0.07715971,0.15457395,0.46428373,0.10184754,20.00000000,233.00000000,0.87228261
60/120/240,0.10000000,0.70000000,5,2022-01-28,2026-08-20,0.13179757,0.12031435,-0.09894016,1.13138301,1.58201683,1.33209382,-0.04925644,-0.03682288,0.07581368,0.15515986,0.44451704,0.09751142,21.00000000,277.00000000,0.87228261
60/120/240,0.10000000,0.70000000,10,2022-01-28,2026-08-20,0.13168721,0.12030718,-0.09897151,1.13059953,1.58081353,1.33055675,-0.04926380,-0.03695428,0.07572986,0.15507058,0.44451704,0.09751142,21.00000000,277.00000000,0.87228261
60/120/240,0.10000000,0.70000000,20,2022-01-28,2026-08-20,0.13146651,0.12029291,-0.09903421,1.12903167,1.57840670,1.32748580,-0.04927850,-0.03721704,0.07556223,0.15489202,0.44451704,0.09751142,21.00000000,277.00000000,0.87228261
60/120/240,0.10000000,0.80000000,5,2022-01-28,2026-08-20,0.13619446,0.12302275,-0.09905829,1.14197599,1.59838938,1.37489201,-0.05272095,-0.03778328,0.08096666,0.16210387,0.48445962,0.10627342,19.00000000,277.00000000,0.87318841
60/120/240,0.10000000,0.80000000,10,2022-01-28,2026-08-20,0.13607371,0.12301516,-0.09908037,1.14113956,1.59709347,1.37336705,-0.05272095,-0.03786731,0.08088423,0.16199206,0.48445962,0.10627342,19.00000000,277.00000000,0.87318841
60/120/240,0.10000000,0.80000000,20,2022-01-28,2026-08-20,0.13583224,0.12300006,-0.09912451,1.13946561,1.59450141,1.37031944,-0.05272095,-0.03803535,0.08071939,0.16177502,0.48445962,0.10627342,19.00000000,277.00000000,0.87318841
60/120/240,0.12000000,0.60000000,5,2022-01-28,2026-08-20,0.13316327,0.11996246,-0.09949781,1.14482135,1.59958133,1.33835376,-0.05040668,-0.03540471,0.07709559,0.15718488,0.46863502,0.10280206,21.00000000,240.00000000,0.87318841
60/120/240,0.12000000,0.60000000,10,2022-01-28,2026-08-20,0.13304678,0.11995684,-0.09953309,1.14397717,1.59830671,1.33670903,-0.05041268,-0.03555495,0.07699284,0.15708850,0.46863502,0.10280206,21.00000000,240.00000000,0.87318841
60/120/240,0.12000000,0.60000000,20,2022-01-28,2026-08-20,0.13281382,0.11994569,-0.09960364,1.14228781,1.59575716,1.33342332,-0.05042467,-0.03585538,0.07678737,0.15689574,0.46863502,0.10280206,21.00000000,240.00000000,0.87318841
60/120/240,0.12000000,0.70000000,5,2022-01-28,2026-08-20,0.13377042,0.12118642,-0.10006784,1.13908450,1.59121688,1.33679732,-0.05029063,-0.03592722,0.07982666,0.15813183,0.44859040,0.09840497,22.00000000,277.00000000,0.87047101
60/120/240,0.12000000,0.70000000,10,2022-01-28,2026-08-20,0.13365885,0.12118086,-0.10010222,1.13828586,1.59000122,1.33522361,-0.05029819,-0.03602868,0.07974209,0.15804557,0.44859040,0.09840497,22.00000000,277.00000000,0.87047101
60/120/240,0.12000000,0.70000000,20,2022-01-28,2026-08-20,0.13343574,0.12116980,-0.10017099,1.13668774,1.58756966,1.33207971,-0.05031331,-0.03623158,0.07957296,0.15787308,0.44859040,0.09840497,22.00000000,277.00000000,0.87047101
60/120/240,0.12000000,0.80000000,5,2022-01-28,2026-08-20,0.13683658,0.12359217,-0.10025102,1.14204110,1.59997832,1.36493960,-0.05127021,-0.03886204,0.08044152,0.16300343,0.46760463,0.10257603,20.00000000,277.00000000,0.87409420
60/120/240,0.12000000,0.80000000,10,2022-01-28,2026-08-20,0.13671997,0.12358515,-0.10027256,1.14123493,1.59873048,1.36348344,-0.05127877,-0.03893939,0.08036365,0.16289882,0.46760463,0.10257603,20.00000000,277.00000000,0.87409420
60/120/240,0.12000000,0.80000000,20,2022-01-28,2026-08-20,0.13648677,0.12357118,-0.10031564,1.13962165,1.59623459,1.36057325,-0.05129589,-0.03909408,0.08020791,0.16268963,0.46760463,0.10257603,20.00000000,277.00000000,0.87409420
